id,question,difficulty,category,date
251,What is the role of activation functions in deep learning?,Easy,Deep Learning,2024-09-17
252,How does a neural network work?,Medium,Deep Learning,2025-05-06
253,What is the bias-variance tradeoff?,Medium,Machine Learning,2025-06-27
254,What are the advantages of ensemble methods?,Easy,Machine Learning,2025-04-10
255,Explain cross-validation and its purpose.,Medium,Machine Learning,2025-05-02
256,What metrics would you use to evaluate a regression model?,Hard,Machine Learning,2024-08-10
257,What is the bias-variance tradeoff?,Hard,Machine Learning,2025-03-31
258,Describe a challenging machine learning project you have worked on.,Medium,Machine Learning,2024-10-17
259,How does a neural network work?,Easy,Deep Learning,2024-08-19
260,Describe the process of feature selection.,Medium,Machine Learning,2025-03-02
261,How would you approach data cleaning for a large dataset?,Hard,Data Science,2024-09-08
262,Describe the process of feature selection.,Easy,Machine Learning,2025-02-11
263,How would you approach data cleaning for a large dataset?,Medium,Data Science,2025-07-01
264,What is the difference between bagging and boosting?,Easy,Machine Learning,2025-05-28
265,Explain the difference between L1 and L2 regularization.,Medium,Machine Learning,2025-03-09
266,How would you optimize a machine learning model?,Medium,Machine Learning,2025-05-03
267,What metrics would you use to evaluate a regression model?,Easy,Machine Learning,2025-05-05
268,What is the bias-variance tradeoff?,Medium,Machine Learning,2024-12-19
269,What is your favorite machine learning algorithm and why?,Hard,Machine Learning,2025-02-14
270,What is the difference between bagging and boosting?,Hard,Machine Learning,2025-04-30
271,Describe a challenging machine learning project you have worked on.,Hard,Machine Learning,2025-03-26
272,What is your favorite machine learning algorithm and why?,Easy,Machine Learning,2024-09-14
273,Explain cross-validation and its purpose.,Easy,Machine Learning,2024-12-06
274,What is the role of activation functions in deep learning?,Hard,Deep Learning,2025-04-15
275,What is your favorite machine learning algorithm and why?,Medium,Machine Learning,2025-05-15
276,Explain cross-validation and its purpose.,Medium,Machine Learning,2024-11-17
277,How does a neural network work?,Hard,Deep Learning,2024-09-13
278,What are the key differences between classification and regression?,Medium,Machine Learning,2024-09-30
279,What are the key differences between classification and regression?,Medium,Machine Learning,2025-02-25
280,What is regularization and why is it important?,Medium,Machine Learning,2024-10-22
281,Describe the process of backpropagation.,Medium,Deep Learning,2024-10-18
282,What are the key differences between classification and regression?,Easy,Machine Learning,2025-02-17
283,What is the bias-variance tradeoff?,Medium,Machine Learning,2025-05-13
284,What are the key differences between classification and regression?,Easy,Machine Learning,2024-08-15
285,What are the key differences between classification and regression?,Hard,Machine Learning,2024-09-21
286,Describe a challenging machine learning project you have worked on.,Medium,Machine Learning,2024-11-09
287,What are the key differences between classification and regression?,Easy,Machine Learning,2025-05-15
288,Explain the difference between L1 and L2 regularization.,Hard,Machine Learning,2024-11-22
289,How would you optimize a machine learning model?,Easy,Machine Learning,2024-12-03
290,What are the advantages of ensemble methods?,Easy,Machine Learning,2025-07-28
291,Can you explain the concept of gradient descent?,Medium,Machine Learning,2024-08-01
292,What is regularization and why is it important?,Hard,Machine Learning,2025-05-05
293,Explain cross-validation and its purpose.,Hard,Machine Learning,2025-01-13
294,How does a neural network work?,Easy,Deep Learning,2025-01-02
295,How does a neural network work?,Medium,Deep Learning,2025-07-07
296,Describe the process of backpropagation.,Hard,Deep Learning,2025-03-10
297,How would you optimize a machine learning model?,Medium,Machine Learning,2024-08-06
298,What is the difference between bagging and boosting?,Hard,Machine Learning,2024-09-09
299,What is your favorite machine learning algorithm and why?,Medium,Machine Learning,2024-10-26
300,Describe the process of feature selection.,Hard,Machine Learning,2025-04-16
301,What metrics would you use to evaluate a regression model?,Medium,Machine Learning,2024-12-07
302,What is principal component analysis (PCA)?,Hard,Data Science,2024-09-19
303,How would you approach data cleaning for a large dataset?,Easy,Data Science,2024-11-10
304,What is the bias-variance tradeoff?,Medium,Machine Learning,2024-11-23
305,Describe the process of feature selection.,Easy,Machine Learning,2024-11-02
306,Describe a challenging machine learning project you have worked on.,Medium,Machine Learning,2024-07-29
307,What is your favorite machine learning algorithm and why?,Hard,Machine Learning,2025-02-15
308,What is the bias-variance tradeoff?,Medium,Machine Learning,2025-06-07
309,What metrics would you use to evaluate a regression model?,Medium,Machine Learning,2025-07-05
310,What are the key differences between classification and regression?,Easy,Machine Learning,2025-07-20
311,How would you optimize a machine learning model?,Hard,Machine Learning,2024-10-25
312,Explain cross-validation and its purpose.,Hard,Machine Learning,2025-01-26
313,What is the bias-variance tradeoff?,Medium,Machine Learning,2024-10-03
314,How does a neural network work?,Hard,Deep Learning,2025-02-28
315,How would you explain the concept of overfitting?,Easy,Machine Learning,2024-10-30
316,Explain the difference between L1 and L2 regularization.,Hard,Machine Learning,2025-06-03
317,Explain cross-validation and its purpose.,Hard,Machine Learning,2025-03-10
318,Describe the process of backpropagation.,Easy,Deep Learning,2024-09-26
319,What are the advantages of ensemble methods?,Easy,Machine Learning,2024-09-24
320,What metrics would you use to evaluate a regression model?,Medium,Machine Learning,2024-10-30
321,Describe the process of feature selection.,Easy,Machine Learning,2024-11-09
322,Describe the process of backpropagation.,Easy,Deep Learning,2025-05-20
323,How would you explain the concept of overfitting?,Easy,Machine Learning,2025-04-26
324,What is principal component analysis (PCA)?,Hard,Data Science,2025-03-30
325,Explain the difference between L1 and L2 regularization.,Easy,Machine Learning,2025-06-19
326,What is principal component analysis (PCA)?,Hard,Data Science,2025-07-08
327,What is your favorite machine learning algorithm and why?,Hard,Machine Learning,2025-05-29
328,How does a neural network work?,Medium,Deep Learning,2024-09-04
329,Can you explain the concept of gradient descent?,Easy,Machine Learning,2025-01-07
330,What is your favorite machine learning algorithm and why?,Easy,Machine Learning,2025-05-23
331,Explain cross-validation and its purpose.,Medium,Machine Learning,2025-06-12
332,What is principal component analysis (PCA)?,Hard,Data Science,2024-11-06
333,What are the key differences between classification and regression?,Hard,Machine Learning,2025-03-12
334,Can you explain the concept of gradient descent?,Hard,Machine Learning,2024-12-29
335,How do you handle missing values in a dataset?,Hard,Data Science,2025-01-16
336,What is the role of activation functions in deep learning?,Easy,Deep Learning,2025-03-25
337,What are the key differences between classification and regression?,Hard,Machine Learning,2025-06-29
338,Describe the process of backpropagation.,Hard,Deep Learning,2025-05-20
339,What are the advantages of ensemble methods?,Medium,Machine Learning,2025-01-05
340,Explain the difference between L1 and L2 regularization.,Medium,Machine Learning,2025-03-10
341,What is principal component analysis (PCA)?,Hard,Data Science,2024-10-30
342,What is the difference between bagging and boosting?,Medium,Machine Learning,2024-09-30
343,What is the role of activation functions in deep learning?,Medium,Deep Learning,2024-11-29
344,What is principal component analysis (PCA)?,Hard,Data Science,2024-09-24
345,Can you explain the concept of gradient descent?,Hard,Machine Learning,2024-09-01
346,Describe a challenging machine learning project you have worked on.,Easy,Machine Learning,2024-11-01
347,How does a neural network work?,Medium,Deep Learning,2025-06-10
348,What is your favorite machine learning algorithm and why?,Hard,Machine Learning,2025-07-21
349,How does a neural network work?,Medium,Deep Learning,2024-10-22
350,Explain the difference between L1 and L2 regularization.,Easy,Machine Learning,2024-09-06
351,Describe a challenging machine learning project you have worked on.,Medium,Machine Learning,2025-01-10
352,What is the role of activation functions in deep learning?,Medium,Deep Learning,2025-06-10
353,How would you approach data cleaning for a large dataset?,Medium,Data Science,2025-01-18
354,What metrics would you use to evaluate a regression model?,Hard,Machine Learning,2024-09-02
355,What metrics would you use to evaluate a regression model?,Medium,Machine Learning,2025-05-10
356,What metrics would you use to evaluate a regression model?,Hard,Machine Learning,2025-04-02
357,How would you explain the concept of overfitting?,Medium,Machine Learning,2025-03-06
358,How would you optimize a machine learning model?,Medium,Machine Learning,2024-09-13
359,Describe a challenging machine learning project you have worked on.,Medium,Machine Learning,2024-08-28
360,How would you optimize a machine learning model?,Easy,Machine Learning,2025-05-20
361,What is the difference between bagging and boosting?,Easy,Machine Learning,2025-02-24
362,What is principal component analysis (PCA)?,Easy,Data Science,2025-03-11
363,What is the bias-variance tradeoff?,Easy,Machine Learning,2024-08-30
364,Describe the process of backpropagation.,Easy,Deep Learning,2025-02-08
365,Explain the difference between L1 and L2 regularization.,Easy,Machine Learning,2024-09-28
366,What are the key differences between classification and regression?,Easy,Machine Learning,2025-03-19
367,How would you optimize a machine learning model?,Hard,Machine Learning,2024-07-31
368,What is the difference between bagging and boosting?,Easy,Machine Learning,2025-05-31
369,What are the advantages of ensemble methods?,Medium,Machine Learning,2024-10-02
370,Can you explain the concept of gradient descent?,Medium,Machine Learning,2024-08-02
371,Explain cross-validation and its purpose.,Easy,Machine Learning,2025-02-04
372,What is principal component analysis (PCA)?,Medium,Data Science,2024-09-28
373,Describe the process of backpropagation.,Easy,Deep Learning,2025-02-14
374,What are the advantages of ensemble methods?,Medium,Machine Learning,2024-12-23
375,What is the bias-variance tradeoff?,Easy,Machine Learning,2024-09-07
376,Describe the process of backpropagation.,Easy,Deep Learning,2025-05-30
377,What is the role of activation functions in deep learning?,Easy,Deep Learning,2025-03-16
378,What are the key differences between classification and regression?,Hard,Machine Learning,2024-11-18
379,Can you explain the concept of gradient descent?,Hard,Machine Learning,2024-08-20
380,What is your favorite machine learning algorithm and why?,Easy,Machine Learning,2024-10-31
381,What is regularization and why is it important?,Hard,Machine Learning,2025-01-29
382,What is regularization and why is it important?,Easy,Machine Learning,2025-03-30
383,Explain cross-validation and its purpose.,Hard,Machine Learning,2024-08-18
384,What is your favorite machine learning algorithm and why?,Easy,Machine Learning,2025-05-29
385,Explain the difference between L1 and L2 regularization.,Easy,Machine Learning,2025-04-24
386,Describe the process of backpropagation.,Medium,Deep Learning,2024-08-01
387,What is the difference between bagging and boosting?,Medium,Machine Learning,2025-04-02
388,What is regularization and why is it important?,Hard,Machine Learning,2025-05-15
389,How would you approach data cleaning for a large dataset?,Medium,Data Science,2025-02-23
390,Explain the difference between L1 and L2 regularization.,Easy,Machine Learning,2024-09-06
391,What is principal component analysis (PCA)?,Easy,Data Science,2025-06-01
392,What are the advantages of ensemble methods?,Easy,Machine Learning,2025-05-16
393,Describe a challenging machine learning project you have worked on.,Medium,Machine Learning,2024-12-12
394,What are the key differences between classification and regression?,Easy,Machine Learning,2025-01-20
395,How do you handle missing values in a dataset?,Hard,Data Science,2025-03-30
396,Describe the process of backpropagation.,Easy,Deep Learning,2024-12-16
397,What are the advantages of ensemble methods?,Hard,Machine Learning,2025-02-01
398,How would you approach data cleaning for a large dataset?,Easy,Data Science,2024-10-27
